Data source:,http://insideairbnb.com/get-the-data.html,,,,,,,,,,,,,,,,,,,,
Date:,03/11/2021,,,,,,,,,,,,,,,,,,,,
Description:,"AIRBNB New York, Staten Island data only",,,,,,,,,,,,,,,,,,,,
id,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,last_review,review_scores_rating,instant_bookable,reviews_per_month,no_of_pics
19929723,Quiet and Comfy Minimalist Han 02,137999892,Simranjeet,within an hour,100%,94%,t,Concord,Staten Island,40.60587,-74.08798,Private room,$43.00,4,161,40,31/07/2021,4.74,f,1.32,
19930489,Queen Sized Bed w Personal 1/2 Bathroom Han 01,137999892,Simranjeet,within an hour,100%,94%,t,Concord,Staten Island,40.60587,-74.08798,Private room,$44.00,4,158,37,11/10/2021,4.81,f,1.06,
19930835,Bare Necessities! Private Room Quiet House ha 03,137999892,Simranjeet,within an hour,100%,94%,t,Concord,Staten Island,40.60587,-74.08798,Private room,$40.00,4,155,46,02/10/2021,4.65,f,1.56,
20305160,Beach House Retreat. 15 minutes from Manhattan.,1715301,Mark,within a day,80%,32%,f,Fort Wadsworth,Staten Island,40.59324,-74.0608,Entire home/apt,$800.00,30,365,0,,,f,,
20572837,Private Room right near SI Ferry,66798529,Courtney,N/A,N/A,N/A,f,St. George,Staten Island,40.64134,-74.07942,Private room,$70.00,31,0,0,,,f,,
20917712,"@FERRY, Private Cozy Room, Renovated&Stylish.",117492425,Dine,within a day,93%,17%,f,St. George,Staten Island,40.64585,-74.08062,Private room,$39.00,4,357,86,11/10/2021,4.87,f,1.76,
21517530,GSG Inn - A totally private historic landmark inn,136214003,Gary,within an hour,100%,100%,t,St. George,Staten Island,40.64727,-74.08402,Entire home/apt,$125.00,3,327,172,04/10/2021,4.91,t,3.82,
21550437,Big City Feel - Small Town Price ka 01 02,43392243,Rita,N/A,N/A,N/A,t,Arrochar,Staten Island,40.59703,-74.08337,Private room,$39.00,4,150,46,12/10/2021,4.57,t,1.03,
21901025,house on the hill with free parking in NYC!,1483578,Spiritchild,N/A,N/A,N/A,f,St. George,Staten Island,40.6438,-74.08443,Private room,$121.00,30,365,88,07/03/2020,4.77,f,1.95,
21981845,A happy home,158178970,Raquel,within an hour,100%,100%,t,Randall Manor,Staten Island,40.62945,-74.12391,Private room,$50.00,3,291,44,10/07/2021,4.84,t,1.72,
22276159,Affordable private room in a home in NYC,12258594,Rosa,N/A,N/A,0%,f,St. George,Staten Island,40.64378,-74.0846,Private room,$75.00,30,239,14,01/03/2020,4.86,f,0.34,
22450373,Private Modern Studio. Super cozy and quiet.,15535829,Jay,within a day,100%,100%,f,West Brighton,Staten Island,40.63435,-74.11374,Entire home/apt,$102.00,2,317,8,23/04/2021,4.88,f,0.27,
22511108,Historical home N.shore Staten Isl. nr FREE ferry.,128338539,Reuben,N/A,N/A,N/A,f,Stapleton,Staten Island,40.62988,-74.08115,Entire home/apt,$175.00,7,178,30,19/07/2021,4.75,f,0.74,
